,ano,estado_ibge,quantidade,valor_em_reais,estado,pib,codigo,area,população,idh,receita,despesa,natural_key
87,2005,22,14,1268950.0,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,1268972.0
88,2006,22,15,2437213.2,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,2437235.2
89,2007,22,13,480375.0,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,480397.0
90,2009,22,7,2754726.19,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,2754748.19
91,2010,22,12,1957574.28,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,1957596.28
92,2008,22,14,3126776.609,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,3126798.609
93,2011,22,15,3008677.03,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,3008699.03
94,2012,22,10,2345162.5,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,2345184.5
95,2013,22,14,1483823.03,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,1483845.03
96,2003,24,16,193091.87,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,193115.87
97,2004,24,14,897143.88,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,897167.88
98,2005,24,10,1451363.86,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,1451387.86
99,2006,24,14,289226.4,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,289250.4
100,2007,24,16,1051344.27,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,1051368.27
101,2008,24,15,1368408.2,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,1368432.2
102,2009,24,10,989317.8,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,989341.8
103,2010,24,11,1645106.0,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,1645130.0
104,2011,24,19,1734862.5,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,1734886.5
105,2012,24,19,3834778.07,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,3834802.07
106,2013,24,33,8583190.31,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,8583214.31
107,2003,25,5,20000.0,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,20025.0
108,2004,25,16,184400.0,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,184425.0
109,2005,25,25,488625.0,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,488650.0
110,2006,25,28,456131.62,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,456156.62
111,2007,25,31,671050.0,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,671075.0
112,2008,25,36,1382416.16,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,1382441.16
113,2009,25,16,1258091.75,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,1258116.75
114,2010,25,24,1484181.01,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,1484206.01
115,2011,25,46,1406920.72,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,1406945.72
116,2012,25,18,735570.9,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,735595.9
117,2013,25,21,266641.33,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,266666.33
118,2003,26,109,9616399.59,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,9616425.59
119,2005,26,134,12065535.36,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,12065561.36
120,2008,26,139,16898566.09,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,16898592.09
121,2009,26,105,24654789.95,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,24654815.95
122,2010,26,135,17991286.42,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,17991312.42
123,2004,26,128,8109262.763,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,8109288.763
124,2006,26,123,18298419.42,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,18298445.42
125,2007,26,159,18565149.54,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,18565175.54
126,2011,26,129,23580379.02,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,23580405.02
127,2012,26,122,18104598.15,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,18104624.15
128,2013,26,111,15610136.43,PB,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,15610162.43
129,2003,27,6,162224.0,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,162251.0
130,2004,27,10,849715.14,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,849742.14
131,2005,27,25,682648.75,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,682675.75
132,2006,27,21,1859770.66,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,1859797.66
133,2007,27,15,2038906.36,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,2038933.36
134,2008,27,16,1477331.0,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,1477358.0
135,2009,27,11,159000.0,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,159027.0
136,2010,27,8,698555.08,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,698582.08
137,2011,27,9,1547016.99,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,1547043.99
138,2012,27,7,1178000.0,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,1178027.0
139,2003,28,13,1967113.31,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,1967141.31
140,2004,28,15,4230387.47,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,4230415.47
141,2005,28,19,4451548.69,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,4451576.69
142,2006,28,21,1576900.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,1576928.0
143,2007,28,18,1065560.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,1065588.0
144,2008,28,19,2142526.59,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,2142554.59
145,2009,28,8,1401105.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,1401133.0
146,2010,28,9,1029839.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,1029867.0
147,2011,28,24,663986.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,664014.0
148,2012,28,13,1081276.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,1081304.0
149,2013,28,7,526715.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,526743.0
150,2003,29,127,10662327.93,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,10662356.93
151,2004,29,163,9241517.68,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,9241546.68
152,2005,29,218,19039820.22,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,19039849.22
153,2007,29,287,26206613.26,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,26206642.26
154,2008,29,242,19483683.924,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,19483712.924
155,2009,29,171,18212090.5,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,18212119.5
156,2010,29,220,19731866.57,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,19731895.57
157,2006,29,241,18320546.36,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,18320575.36
158,2011,29,333,16494931.76,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,16494960.76
159,2012,29,204,12773225.85,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,12773254.85
160,2013,29,190,11298782.25,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038,11298811.25
161,2003,31,333,44139927.77,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,44139958.77
162,2005,31,743,79991234.359,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,79991265.359
163,2006,31,835,103873117.01,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,103873148.01
164,2008,31,765,108650925.05,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,108650956.05
165,2009,31,690,89483276.97,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,89483307.97
166,2010,31,729,125932922.55,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,125932953.55
167,2004,31,497,51122452.183,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,51122483.183
168,2007,31,861,113151278.32,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,113151309.32
169,2011,31,825,127601435.44,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,127601466.44
170,2012,31,775,126983928.11,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,126983959.11
171,2013,31,824,120521642.55,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323,120521673.55
172,2003,32,30,704472.83,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,704504.83
